15,,,,,,,,,,
hsy68,Klein,Calvin,4523 N 167th Ave,Omaha ,NE,68116,USA,CalvinK463@yahoo.com,Cklein@hmail.com,
mi8ygw,Smith,Joe,107 W F St,Lincoln,NE,68508,USA,SmithersonJoe@gmail.net,,
,,,,,,,,,,
j72jsi,Durant,Kevin,3923 N 165 St ,Lincoln ,NE,68508,USA,,,
ming23,Stevens,Greeney,123 West Street,New York City,NY,10001,USA,Greenyboy12@gmail.net,,
clang15,Madison,Billy,678 S 14 Ave,Omaha ,NE,68154,USA,BillMadisonGM@kellogs.com,BillyMads27@wow.com,Bmads@123.com
hsk2n,Sandy,Trevor,5678 Wayners Way,Lincoln,NE,68112,USA,Tsandy@gmail.com,TrevorS123@gmail.org,
89h6,Banks,Tyrone,906 N South Circle,Austin,TX,73301,USA,,,
82d02s,Jacobs,Shaun,7801 String Array Road,Chicago,IL,60106,USA,shaunjacobs@12enums.com,,
29s92js,Dor,Griffin,8907 Yutan Street,Baton Rouge,LA,70801,USA,griffindor@12enums.com,uknowME@yahoo.google,
